,NAME,CATEGORY,SUBCATEGORY,LON,LAT,CITY,OPENING_HOURS,OTHER_TAGS
34117,Hotel Drei Könige,ACCOMMODATION,HOTEL,8.300689400000001,47.049604,Luzern,,"{""name"":""Hotel Drei Könige"",""tourism"":""hotel""}"
34162,Bristol,ACCOMMODATION,HOTEL,7.4425105,46.947538,,,"{""rooms"":""92"",""contact:facebook"":""https://www.facebook.com/thebristol.ch"",""internet_access"":""wlan"",""internet_access:fee"":""no"",""tourism"":""hotel"",""stars"":""4"",""source"":""Survey and website"",""contact:addr"":""Schauplatzgasse 10, 3011 Bern"",""contact:instagram"":""https://www.instagram.com/the_bristol_bern"",""smoking"":""separated"",""name"":""Bristol"",""beds"":""125""}"
34379,Vereina,ACCOMMODATION,HOTEL,9.8839572,46.8675463,,,"{""name"":""Vereina"",""tourism"":""hotel""}"
34380,Silvretta Parkhotel,ACCOMMODATION,HOTEL,9.8816505,46.866020600000006,,,"{""name"":""Silvretta Parkhotel"",""tourism"":""hotel""}"
34381,Hotel Rustico,ACCOMMODATION,HOTEL,9.8819173,46.8653898,,,"{""name"":""Hotel Rustico"",""tourism"":""hotel"",""stars"":""2""}"
34382,Hotel Bündnerhof,ACCOMMODATION,HOTEL,9.8822913,46.864460400000006,,,"{""name"":""Hotel Bündnerhof"",""tourism"":""hotel""}"
34383,Piz Buin,ACCOMMODATION,HOTEL,9.8820797,46.866585400000005,,,"{""name"":""Piz Buin"",""tourism"":""hotel""}"
34401,The Hotel,ACCOMMODATION,HOTEL,8.3078026,47.047975400000006,,,"{""name"":""The Hotel"",""wheelchair"":""limited"",""tourism"":""hotel""}"
34410,La Réserve,ACCOMMODATION,HOTEL,7.8005525,46.1715634,,,"{""name"":""La Réserve"",""tourism"":""hotel""}"
34454,Hofmatt,ACCOMMODATION,HOTEL,7.618106500000001,47.5198562,Münchenstein,,"{""name"":""Hofmatt"",""tourism"":""hotel""}"
34461,Hotel Sonne,ACCOMMODATION,HOTEL,9.7651244,46.414214300000005,,,"{""name"":""Hotel Sonne"",""tourism"":""hotel""}"
34462,Hotel Fex,ACCOMMODATION,HOTEL,9.777402,46.398359000000006,Fex/Sils,,"{""rooms"":""15"",""internet_access"":""wlan"",""tourism"":""hotel"",""source"":""Survey"",""name"":""Hotel Fex""}"
34504,Hotel Arlas,ACCOMMODATION,HOTEL,9.7948804,46.458908400000006,Silvaplana,,"{""addr:housename"":""Hotel Arlas"",""name"":""Hotel Arlas"",""tourism"":""hotel""}"
34671,Skihütte Schwand,ACCOMMODATION,HOTEL,8.038696100000001,46.8110074,,,"{""amenity"":""restaurant"",""name"":""Skihütte Schwand"",""tourism"":""hotel""}"
34695,Bellevue,ACCOMMODATION,HOTEL,7.852514200000001,46.6862648,,,"{""internet_access"":""wlan"",""name"":""Bellevue"",""tourism"":""hotel"",""stars"":""4""}"
34696,Hotel Goldey,ACCOMMODATION,HOTEL,7.853715,46.689226100000006,,,"{""rooms"":""40"",""internet_access"":""wlan"",""internet_access:fee"":""no"",""name"":""Hotel Goldey"",""tourism"":""hotel"",""stars"":""3""}"
34711,Albergo Basodino,ACCOMMODATION,HOTEL,8.5262236,46.408570000000005,,,"{""rooms"":""5"",""amenity"":""restaurant"",""name"":""Albergo Basodino"",""tourism"":""hotel"",""beds"":""11""}"
34765,Hôtel des Bains,ACCOMMODATION,HOTEL,7.0181775,46.203706800000006,,,"{""name"":""Hôtel des Bains"",""tourism"":""hotel""}"
34774,First,ACCOMMODATION,HOTEL,8.736436300000001,47.1894518,,,"{""name"":""First"",""tourism"":""hotel""}"
34823,Panorama Resort & Spa,ACCOMMODATION,HOTEL,8.7370851,47.1860122,,,"{""name"":""Panorama Resort & Spa"",""tourism"":""hotel"",""amenity"":""restaurant""}"
35107,Sonne,ACCOMMODATION,HOTEL,7.9710589,47.2473047,,,"{""name"":""Sonne"",""tourism"":""hotel"",""amenity"":""restaurant""}"
35143,Kreuz,ACCOMMODATION,HOTEL,7.537682500000001,47.206743800000005,,Mo-Fr 11:00+; Sa 10:00+; Su 17:00+,"{""toilets:access"":""customers"",""internet_access"":""wlan"",""highchair"":""yes"",""amenity"":""restaurant"",""cuisine"":""international"",""tourism"":""hotel"",""wheelchair:restaurant"":""yes"",""toilets"":""yes"",""toilets:wheelchair"":""designated"",""wheelchair:hotel"":""no"",""smoking"":""outside"",""name"":""Kreuz"",""changing_table:location"":""wheelchair_toilet"",""outdoor_seating"":""yes"",""changing_table"":""yes"",""start_date"":""1973""}"
35147,Hotel an der Aare,ACCOMMODATION,HOTEL,7.535748600000001,47.204974500000006,Solothurn,,"{""internet_access"":""wired"",""internet_access:fee"":""no"",""tourism"":""hotel"",""name"":""Hotel an der Aare""}"
35151,Astoria,ACCOMMODATION,HOTEL,7.533179100000001,47.206822200000005,,,"{""name"":""Astoria"",""tourism"":""hotel"",""amenity"":""restaurant""}"
35273,Forum,ACCOMMODATION,HOTEL,9.6335853,47.4059955,,,"{""name"":""Forum"",""tourism"":""hotel""}"
35299,Jakob Hotel am Hauptplatz,ACCOMMODATION,HOTEL,8.816502700000001,47.2268513,,,"{""name"":""Jakob Hotel am Hauptplatz"",""wheelchair"":""no"",""tourism"":""hotel""}"
35356,Berghaus Niesen,ACCOMMODATION,HOTEL,7.651282800000001,46.6450011,,,"{""name"":""Berghaus Niesen"",""tourism"":""hotel""}"
35481,Steigenberger Bellerive,ACCOMMODATION,HOTEL,8.5475908,47.3622444,Zürich,,"{""wheelchair"":""yes"",""name"":""Steigenberger Bellerive"",""tourism"":""hotel""}"
35501,Hotel Artemis,ACCOMMODATION,HOTEL,7.9298007,46.1114017,,,"{""name"":""Hotel Artemis"",""tourism"":""hotel""}"
